ImageName,VietnameseName,EnglishName,Price
044.jpeg,CÁ NGỪ SỐT MAYONNAISE,TUNA WITH MAYONNAISE SAUCE,25000
044.jpeg,GÀ CHIÊN XÙ,CRIPSY CHICKEN  ,25000
044.jpeg,THỊT SỐT CAY,MEAT WITH SPICY SAUCE,25000
044.jpeg,TOKBOKKI THANH CUA,CRAB STICK TOKBOKKI,25000
044.jpeg,TOKBOKKI XÚC XÍCH ĐỨC,GERMAN SAUSAGE TOKBOKKI,20000
044.jpeg,TOKBOKKI PHÔ MAI,CHEESE TOKBOKKI,30000
044.jpeg,TOKBOKKI ĐẶC BIỆT,SPECIAL TOKBOKKI,40000
044.jpeg,TOKBOKKI GÀ RÁN MẬT ONG,FRIED CHICKEN HONEY TOKBOKKI,40000
044.jpeg,GÀ GIÒN,CRIPSY CHICKEN,25000
044.jpeg,GÀ SỐT CAY,CHICKEN WITH SPICY SAUCE,30000
044.jpeg,GÀ SỐT ME,CHICKEN WITH TAMARIND SAUCE,30000
044.jpeg,GÀ VIÊN XÚC XÍCH,CHICKEN BALL WITH SAUSAGE,35000
044.jpeg,THẬP CẨM CHIÊN,MIXED FRY,45000
044.jpeg,MÌ CAY BÒ,SPICY BEEF NOODLE,25000
044.jpeg,MÌ CAY HẢI SẢN,SPICY SEAFOOD NOODLE,25000
044.jpeg,MÌ CAY THẬP CẨM,SPICY MIXED NOODLE,30000
044.jpeg,MÌ TƯƠNG ĐEN,BLACK BEAN PASTE NOODLE,25000
044.jpeg,LẨU BÒ CAY HÀN QUỐC,KOREAN SPICY BEEF HOTPOT,40000
044.jpeg,MÌ GÀ PHÔ MAI,CHICKEN NOODLE WITH CHEESE,40000
044.jpeg,LẨU TOKBOKKI RAU CỦ,VEGETABLE TOKBOKKI HOTPOT,40000
044.jpeg,LẨU XIÊN HÀN QUỐC,KOREAN SKEWER HOTPOT,45000
044.jpeg,LẨU NẤM PEPA'S,PEPA'S MUSHROOM HOTPOT,45000
045.jpeg,SÂM BÍ ĐAO HẠT CHIA,GINGER ALE CHIA,21000
045.jpeg,SÂM BÍ ĐAO HẠT CHIA SƯƠNG SÁO,GINGER ALE CHIA GRASS JELLY,23000
045.jpeg,TRÀ ĐÀO HẠT CHIA SƯƠNG SÁO,PEACH TEA WITH CHIA AND GRASS JELLY,26000
045.jpeg,RAU MÁ NƯỚC DỪA TƯƠI,PENNYWORT COCONUT JUICE,20000
045.jpeg,RAU MÁ ĐẬU XANH,PENNYWORT GREEN BEAN  ,19000
045.jpeg,RAU MÁ MACHIATO,PENNYWORT MACHIATO,23000
045.jpeg,YAOURT HẠT CHIA,CHIA YOGURT,20000
045.jpeg,YAOURT SƯƠNG SÁO,GRASS JELLY YOGURT,18000
045.jpeg,YAOURT CAM,ORANGE YOGURT,22000
045.jpeg,YAOURT TRÁI CÂY,FRUIT YOGURT,25000
045.jpeg,CAM MẬT ONG HẠT CHIA,ORANGE HONEY CHIA,30000
045.jpeg,CAM TƯƠNG HẠT CHIA,ORANGE CHIA,28000
045.jpeg,CHANH MẬT ONG HẠT CHIA,LIME HONEY CHIA,23000
045.jpeg,CHANH TƯƠI HẠT CHIA,FRESH LIME CHIA,20000
045.jpeg,CÓC ÉP,TOAD FRUIT JUICE,25000
045.jpeg,TRÀ SỮA SƯƠNG SÁO TRÂN CHÂU,BUBBLE TEA WITH GRASS JELLY,23000
045.jpeg,TRÀ SỮA MATCHA TRÂN CHÂU ,MATCHA BUBBLE TEA,25000
045.jpeg,TRÀ TRÁI CÂY  ,TEA FRUIT,25000
046.jpeg,ỐC GAI,MURICIDAE,NOT GIVEN
046.jpeg,ỐC NÓN,CONE SNAIL,NOT GIVEN
046.jpeg,ỐC HƯƠNG,SWEET SNAIL,NOT GIVEN
046.jpeg,ỐC DỤ,HERMIT CRAB,NOT GIVEN
046.jpeg,ỐC LEN XÀO DỪA,STIR FRIED WOOL SNAIL WITH COCONUT,NOT GIVEN
046.jpeg,ỐC MÓNG TAY XÀO SẢ ỚT,STIR FRIED NAIL SNAIL WITH SPICY CITRONELLA,NOT GIVEN
046.jpeg,ỐC NHẢY GỎI ỐC,JUMPING SNAIL SALAD,NOT GIVEN
046.jpeg,NGHÊU HẤP,STEAMED CLAM  ,NOT GIVEN
046.jpeg,XÌA ĐEN HẤP,STEAMED BLACK CLAM  ,NOT GIVEN
046.jpeg,CHÁO HẢI SẢN,SEAFOOD CONGEE,NOT GIVEN
046.jpeg,GHẸ RAM ME,SENTINEL CRAB STEW WITH TAMARIND,NOT GIVEN
046.jpeg,GHẸ HẤP,STEAMED SENTINEL CRAB,NOT GIVEN
046.jpeg,CÀNG HẤP,STEAMED SENTINEL CRAB LEG,NOT GIVEN
046.jpeg,TÔM CÀNG HẤP,STEAMED CRAYFISH,NOT GIVEN
046.jpeg,TÔM TÍT HẤP,STEAMED MANTIS SHRIMP,NOT GIVEN
046.jpeg,CÁ SƠN NƯỚNG,GRILLED RED SQUIREL FISH,NOT GIVEN
046.jpeg,CÁ MẶT TRƯỜNG NƯỚNG,GRILLED RED SQUIREL FISH,NOT GIVEN
046.jpeg,CÁ NINJA,SEA LAMPREY,NOT GIVEN
046.jpeg,CÁ BỐP LÁ GIANG,COBIA FISH WITH RIVER LEAF,NOT GIVEN
046.jpeg,CÁ MÚ,GROUPER,NOT GIVEN
046.jpeg,CÁ LAO,SPEARFISH,NOT GIVEN
046.jpeg,CÁ CƠM 1 NẮNG CHIÊN MẮM,FRIED DRY ANCHOVY WITH FISH SAUCE,NOT GIVEN
046.jpeg,CÁ HỒNG,SNAPPER,NOT GIVEN
046.jpeg,MỰC 1 NẮNG NƯỚNG,GRILLED DRY SQUID,NOT GIVEN
046.jpeg,MỰC NANG,CUTTLEFISH,NOT GIVEN
046.jpeg,MỰC CƠM,BABY SQUID,NOT GIVEN
046.jpeg,BẠCH TUỘC,OCTOPUS  ,NOT GIVEN
046.jpeg,TÔM CÀNG HẤP,STEAMED CRAYFISH,NOT GIVEN
046.jpeg,TÔM HÙM ĐÁ,ROCK LOPSTER,NOT GIVEN
046.jpeg,TÔM HÙM,LOPSTER,NOT GIVEN
046.jpeg,GHẸ,SENTINEL CRAB,NOT GIVEN
046.jpeg,CÀNG CÚM NÚM,CALAPPA,NOT GIVEN
046.jpeg,LẨU,HOTPOT,NOT GIVEN
046.jpeg,SÚP HẢI SẢN,SEAFOOD SOUP,NOT GIVEN
046.jpeg,CHÁO ,CONGEE,NOT GIVEN
046.jpeg,MÌ XÀO ,STIR FRIED NOODLE,NOT GIVEN
046.jpeg,CƠM CHIÊN,FRIED RICE,NOT GIVEN
046.jpeg,GỎI,SALAD,NOT GIVEN
046.jpeg,CUA HUỲNH ĐẾ,KING CRAB,NOT GIVEN
047.jpeg,BÁNH TRÁNG,RICE PAPER,10000
047.jpeg,TRỨNG CÚT,QUAIL EGG  ,20000
047.jpeg,CHẢ RAM TÔM ĐẤT,FRIED SPRING ROLL SHRIMP,40000
047.jpeg,XOÀI,MANGO,20000
047.jpeg,MÍT THÁI,THAI JACKFRUIT,40000
047.jpeg,CHÉ TRỘN,MIXED SPRING ROLL,60000
047.jpeg,GÀ HẤP HÀNH,STEAMED CHICKEN WITH SCALLIONS,360000
047.jpeg,GÀ HẤP MẮM,STEAMED CHICKEN WITH FISH SAUCE,360000
047.jpeg,GÀ CHIÊN MẮM,FRIED CHICKEN WITH FISH SAUCE,360000
047.jpeg,GÀ NƯỚNG MUỐI ỚT,GRILLED CHICKEN WITH SPICY SALT,360000
047.jpeg,GÀ KHO SẢ,STEWED CHICKEN WITH CITRONELLA,360000
047.jpeg,GÀ BÓP GỎI,CHICKEN SALAD,360000
047.jpeg,GÀ LẨU,CHICKEN HOTPOT,360000
047.jpeg,XÔI CHIÊN,FRIED STICKY RICE,50000
047.jpeg,CHÁO LÒNG,GUT CONGEE,50000
047.jpeg,MIẾN LÒNG,GUT RICE NOODLE,50000
047.jpeg,MÌ XÀO LÒNG,STIR FRIED NOODLE WITH GUTS,90000
047.jpeg,MIẾN XÀO LÒNG,STIR FRIED RICE NOODLE WITH GUTS,90000
047.jpeg,HEINEKEN LON,HEINEKEN CAN,22000
047.jpeg,HEINEKEN CHAI,HEINEKEN BOTTLE,20000
047.jpeg,TIGER LON ,TIGER CAN,18000
047.jpeg,TIGER CHAI,TIGER BOTTLE,17000
047.jpeg,SÀI GÒN SABECO,SAIGON SABECO,15000
047.jpeg,NƯỚC NGỌT,SOFT DRINK,14000
047.jpeg,NƯỚC SUỐI ,WATER,10000
047.jpeg,VĨNH HẢO,VINH HAO,13000
047.jpeg,BÒ HÚC,RED BULL,17000
047.jpeg,RƯỢU VODKA LỚN,VODKA L,150000
047.jpeg,RƯỢU VODKA NHỎ,VODKA S,75000
047.jpeg,VANG ĐÀ LẠT,DA LAT WINE,150000
048.jpeg,ESPRESSO ĐEN,BLACK ESPRESSO,22000
048.jpeg,ESPRESSO SỮA,MILK ESPRESSO,25000
048.jpeg,BẠC XỈU KEM TƯƠI,CREAM FAINT SILVER,30000
048.jpeg,SINH TỐ DÂU ,STRAWBERRY FRAPPE,35000
048.jpeg,SINH TỐ XOÀI,MANGO FRAPPE,30000
048.jpeg,SINH TỐ CHUỐI,BANANA FRAPPE,28000
048.jpeg,MILK FOAM MUỐI BIỂN,MILK FOAM SEA SALT,10000
048.jpeg,MILK FOAM KEM CHEESE,MILK FOAM CREAM CHEESE,10000
048.jpeg,TRÂN CHÂU ĐEN TRẮNG,BLACK AND WHITE BUBBLE,8000
048.jpeg,TRÂN CHÂU ĐƯỜNG ĐEN,BLACK SUGAR BUBBLE  ,10000
048.jpeg,MOCHI TRÁI CÂY,MOCHI FRUIT,10000
048.jpeg,LATTE DÂU TÂY ,STRAWBERRY LATTE,42000
048.jpeg,LATTE XOÀI,MANGO LATTE,39000
048.jpeg, LATTE THANH LONG ĐỎ,RED DRAGON FRUIT LATTE,35000
048.jpeg,CHOCOLATE ALMOND,CHOCOLATE ALMOND,38000
048.jpeg,OREO,OREO,32000
048.jpeg,CÀ PHÊ,COFFEE,32000
048.jpeg,CHOCOLATE,CHOCOLATE,35000
048.jpeg,YOGURT NẾP CẨM,STICKY RICE YOGURT,28000
048.jpeg,YOGURT NGŨ CỐC,OAT YOGURT,32000
048.jpeg,YOGURT CHOCOLATE ALMOND,YOGURT CHOCOLATE ALMOND,35000
048.jpeg,YOGURT TRÁI CÂY TƯƠI,FRESH FRUIT YOGURT,35000
049.jpeg,LẨU QUÂN ĐỘI,KIMCHI SAUSAGE HOTPOT,NOT GIVEN
049.jpeg,LẨU BULGOGI,BULGOGI HOTPOT,NOT GIVEN
049.jpeg,LẨU KIM CHI   ,KIMCHI HOTPOT,NOT GIVEN
050.jpeg,CÀ PHÊ ĐEN,KIMCHI HOTPOT,14000
050.jpeg,CÀ PHÊ SỮA,MILK COFFEE,16000
050.jpeg,BẠC XỈU ĐÁ NÓNG,ICED HOT FAINT SILVER,20000
050.jpeg,CACAO ĐÁ NÓNG,ICED HOT CACAO,21000
050.jpeg,CACAO DỪA, CACAO COCONUT,27000
050.jpeg,CACAO DỪA TRÂN CHÂU,CACAO COCONUT TOPPING,27000
050.jpeg,CÀ PHÊ CỐT DỪA TRÂN CHÂU,COFFEE WITH BUBBLE COCONUT,27000
050.jpeg,SINH TỐ DỨA CA CAO,CACAO PINEAPPLE JUICE,35000
050.jpeg,ESPRESSO ĐEN,BLACK ESPRESSO,14000
050.jpeg,ESPRESSO SỮA,MILK ESPRESSO,16000
050.jpeg,YAOURT HỦ,YOGURT BOTTLE,10000
050.jpeg,YAOURT ĐÁ,ICED YOGURT,17000
050.jpeg,YAOURT ĐÀO VIỆT QUẤT,PEACH BLUEBERRY YOGURT,25000
050.jpeg,YAOURT CHANH DÂY,PASSION FRUIT YOGURT,25000
050.jpeg,YAOURT NẾP CẨM,STICKY RICE YOGURT,25000
050.jpeg,YAOURT ÚT BÔNG,SMALL COTTON YOGURT,25000
050.jpeg,CÀ PHÊ TRỨNG,EGG COFFEE,30000
050.jpeg,CACAO TRỨNG,EGG CACAO,30000
050.jpeg,MILO TRỨNG,EGG MILO,30000
050.jpeg,TRÀ GỪNG,GINGER TEA,20000
050.jpeg,TRÀ LIPTON NÓNG,HOT LIPTON TEA,20000
050.jpeg,TRÀ LIPTON ĐÁ,ICED LIPTON TEA,23000
050.jpeg,TRÀ TẮC,KUMQUAT TEA,23000
050.jpeg,TRÀ TẮC MẬT ONG,KUMQUAT HONEY TEA,23000
050.jpeg,TRÀ SỮA TRÂN CHÂU,BUBBLE TEA  ,23000
050.jpeg,SỮA TƯƠI TRÂN CHÂU,BUBBLE MILK,24000
050.jpeg,TRÀ ĐÀO SẢ ĐÁ NÓNG,ICED HOT PEACH TEA WITH CITRONELLA,25000
050.jpeg,TRÀ SỬA TRÂN CHÂU HOA ĐẬU BIẾC,BUTTERFLY PEA FLOWER BUBBLE TEA,25000
050.jpeg,CÀ PHÊ ĐÁ XAY,ICE BLENDED COFFEE,25000
050.jpeg,BẠC XỈU KEM TƯƠI,CREAM FAINT SILVER,25000
050.jpeg,CACAO ĐÁ XAY,ICE BLENDED CACAO,25000
050.jpeg,CHANH TUYẾT,SNOW LIME,25000
050.jpeg,MILO ĐÁ XAY,ICE BLENDED MILO,25000
050.jpeg,COOKIE CREAM ĐÁ XAY,ICE BLENDED COOKIE CREAM,25000
050.jpeg,MATCHA ĐÁ XAY,ICE BLENDED MATCHA,25000
050.jpeg,SODA CHANH ,LIME SODA,25000
050.jpeg,SODA CHANH DÂY,PASSION FRUIT SODA,25000
050.jpeg,SODA KEM,CREAM SODA,25000
050.jpeg,SODA BẠC HÀ,MINT SODA,25000
050.jpeg,SODA VIỆT QUẤT,BLUEBERRY SODA,25000
050.jpeg,SODA ĐÀO,PEACH SODA,25000
050.jpeg,CÀ CHUA,TOMATO,22000
050.jpeg,CÀ RỐT,CARROT,22000
050.jpeg,ÉP ỔI,GUAVA JUICE,22000
050.jpeg,ÉP THƠM,PINEAPPLE JUICE,24000
050.jpeg,CHANH TƯƠI ,FRESH LIME,20000
050.jpeg,CHANH TƯƠI HẠT CHIA,FRESH LIME CHIA,22000
050.jpeg,CHANH MUỐI,SALTED LIME,22000
050.jpeg,CHANH DÂY,PASSION FRUIT,23000
050.jpeg,DỪA TẮC,COCONUT KUMQUAT,25000
050.jpeg,CÀ CHUA CÀ RỐT,TOMATO CARROT,25000
050.jpeg,CAM THƠM ,ORANGE PINEAPPLE,27000
050.jpeg,CÀ RỐT THƠM,CARROT PINEAPPLE,27000
050.jpeg,TẮC XÍ MUỘI,KUMQUAT SALTED DRY APRICOT,25000
050.jpeg,DỪA TRÁI,COCONUT,NOT GIVEN
050.jpeg,CAM VẮT,ORANGE JUICE,NOT GIVEN
050.jpeg,CAM VẮT MẬT ONG,OANGE JUICE WITH HONEY,NOT GIVEN
051.jpeg,CHẢ RAM TÔM  ,SPRING ROLL SHRIMP,105000
051.jpeg,BẮP XÀO TÔM ,STIR FRIED CORN WITH SHRIMP,75000
051.jpeg,BẮP XÀO HÀNH,STIR FRIED CORN WITH SCALLION,55000
051.jpeg,ĐẬU NON CHIÊN XÙ,CRUNCHY FRIED TOFU,85000
051.jpeg,ĐẬU NON TỨ XUYÊN,SICHUAN TOFU,85000
051.jpeg,KHOAI TÂY CHIÊN,FRIED POTATO,55000
051.jpeg,KHOAI LANG XỐC MUỐI,SWEET POTATO SHAKE SALT,65000
051.jpeg,KHOAI LANG CHIÊN MẮM,FRIED SWEET POTATO WITH FISH SAUCE,65000
051.jpeg,NGŨ QUẢ KHO QUẸT,VIETNAMESE VEGETABLE DIP,95000
051.jpeg,RAU RỪNG MẮM CUA XÀO TỎI,STIR FRIED WILD VEGETABLE WITH CRAB SAUCE AND GARLIC,85000
051.jpeg,RAU TẬP TÀN MẮM CUA,VEGETABLE WITH CRAB SAUCE,85000
051.jpeg,BẦU LUỘC CHẤM TRỨNG,BOILED BOTTLE GOURD DIP EGG,75000
051.jpeg,RAU CẢI XÀO NẤM,STIR FRIED VEGETABLE WITH MUSHROOM,75000
051.jpeg,RAU MUỐNG XÀO TỎI,STIR FRIED WATER SPINACH WITH GARLIC,65000
051.jpeg,BÒ TÁI CHANH,LEMONGRASS BEEF,105000
051.jpeg,BÊ BÓP THẤU,SQUEEZING CALVES,105000
051.jpeg,SALAD THỊT BÒ,BEEF SALAD,95000
051.jpeg,GỎI HẢI SẢN,SEAFOOD SALAD,105000
051.jpeg,GỎI SỨA,JELLYFISH SALAD,95000
051.jpeg,GỎI DA CÁ TRỘN,MIXED FISH SKIN SALAD,95000
051.jpeg,GỎI MỰC THÁI CHUA CAY,SPICY SOUR THAI SQUID SALAD,125000
051.jpeg,GỎI SALAD RONG NHO,SEAWEED SALAD,95000
051.jpeg,GỎI XOÀI KHÔ MỰC,MANGO DRY SQUID SALAD,105000
051.jpeg,ẾCH XÀO SẢ ỚT,STIR FRIED SPICY FROG,95000
051.jpeg,ẾCH CHIÊN BƠ,FRIED FROG WITH BUTTER,95000
051.jpeg,ẾCH XÀO LĂN BÁNH MÌ,STIR FRIED JELLYFISH WITH BREAD,95000
051.jpeg,ẾCH NẤU MĂNG CHUA,BOILED FROG WITH SOIR BAMBOO SHOT,115000
051.jpeg,ẾCH UM HOA CHUỐI BÚN,SIMMERED FROG WITH BANANA FLOWER AND RICE NOODLE,125000
051.jpeg,ẾCH NƯỚNG,GRILLED FROG,95000
051.jpeg,ẾCH SAPO BÁNH MÌ,SAPO FROG AND BREAD,105000
051.jpeg,XÀO SẢ ỚT,STIR FRIED SPICY SALT,125000
051.jpeg,LƯƠN NƯỚNG MẮM NHỈ,GRILLED EEL WITH FISH SAUCE,125000
051.jpeg,LƯƠN UM HOA CHUỐI BÚN,SIMMERED EEL WITH BANANA FLOWER AND RICE NOODLE,185000
051.jpeg,LƯƠN XÀO LĂN BÁNH MÌ,STIR FRIED EEL WITH BREAD,125000
051.jpeg,LƯƠN NƯỚNG GIẤY BẠC,BROILED EEL,125000
051.jpeg,LẨU LƯƠN ,EEL HOTPOT,225000
051.jpeg,GÀ HẤP HÀNH,STEAMED CHICKEN WITH SCALLIONS,305000
051.jpeg,GÀ HẤP LÁ CHANH,STEAMED CHICKEN WITH RIVER LEAF,305000
051.jpeg,GÀ CHIÊN MẮM,FRIED CHICKEN WITH FISH SAUCE,305000
051.jpeg,GỎI GÀ XÉ PHAY RAU RĂM,SHREDDED CHICKEN AND LAKSA LEAVES SALAD,305000
051.jpeg,GÀ TIỀM THUỐC BẮC,SIMMERED CHICKEN WITH CHINESE HERB,325000
051.jpeg,GÀ TIỀM ỚT XANH,SIMMERED CHICKEN WITH GREEN PEPPER,325000
051.jpeg,GÀ NẤU CARI BÁNH MÌ,CHICKEN CARI WITH BREAD,305000
051.jpeg,GÀ NẤU LÁ GIANG,BOILED CHICKEN WITH RIVER LEAF,305000
051.jpeg,GÀ NƯỚNG  ,GRILLED CHICKEN  ,305000
051.jpeg,LÒNG NON CHÁY TỎI BÁNH MÌ,GUT FRIED GARLIC AND BREAD,95000
051.jpeg,LÒNG NON XÀO HÀNH,STIR FRIED GUT WITH SCALLIONS,95000
051.jpeg,LÒNG NON CHÁO,GUT CONGEE,95000
051.jpeg,TRỨNG GÀ NON SỐT NẤM BÁNH MÌ,EGG WITH MUSHROOM SAUCE AND BREAD,115000
051.jpeg,GÀ ĐÁ,PLYMOUTH ROCK,300000
051.jpeg,BÊ NƯỚNG MẮM NHỈ,GRILLED CALVE WITH FISH SAUCE,125000
051.jpeg,BÊ NƯỚNG MUỐI ỚT,GRILLED CALVE WITH SPICY SALT,125000
051.jpeg,BÊ XÀO LĂN BÁNH MÌ,STIR FRIED V WITH BREAD,125000
051.jpeg,BÊ HẤP SẢ,STEAMED CALVE WITH CITRONELLA,125000
051.jpeg,BÊ HẤP TÍA TÔ,STEAMED CALVE WITH PERILLA,125000
051.jpeg,SƯỜN BÊ NẤU CỦ,RIB CALVE WITH VEGETABLE,135000
051.jpeg,CÁ LÓC UM CHUA CAY,SIMMERED SOUR AND SPICY SNAKEHEAD ,155000
051.jpeg,CÁ LÓC NƯỚNG MUỐI ỚT,GIRILLED SNAKEHEAD WITH SPICY SALT,125000
051.jpeg,CÁ LÓC NƯỚNG GIẤY BẠC,BROILED SNAKEHEAD,125000
051.jpeg,CÁ LÓC CHIÊN GIÒN MẮM ME,CRUNCHY FRIED SNAKEHEAD WITH TAMARIND SAUCE,125000
051.jpeg,BÒ NƯỚNG LẠC CẢNH BÁNH MÌ,LAC CANH GRILLED BEEF WITH BREAD,125000
051.jpeg,BÒ NƯỚNG MẮM NHỈ,GRILLED BEEF WITH FISH SAUCE,125000
051.jpeg,BÒ LÚC LẮC KHOAI TÂY CHIÊN,BEEF RATTLE FRIED POTATO,135000
051.jpeg,BÒ NHÚNG GIẤM,BEEF DIP VINEGAR,155000
051.jpeg,BÒ NHÚNG ỚT HIỂM,BEEF DIP CHILIES,155000
051.jpeg,BÒ HẤP HÀNH ,STEAMED BEEF WITH SCALLIONS,125000
051.jpeg,BÒ XÀO HÀNH CẦN,STIR FRIED BEEF WITH SCALLIONS,125000
051.jpeg,SƯỜN CÂY NƯỚNG,GRILLED RIB,NOT GIVEN
051.jpeg,BA CHỈ NƯỚNG MUỐI ỚT,GRILLED BACON WITH SPICY SALT,95000
051.jpeg,BA CHỈ NƯỚNG MỌI,GRILLED BACON  ,95000
051.jpeg,BAO TỬ XÀO CẢI CHUA,STIR FRIED GUT WITH SAUERKRAUT,125000
051.jpeg,GỎI BAO TỬ,GUT SALAD,125000
051.jpeg,BAO TỬ HẦM TIÊU XANH,BOILED GUT WITH GREEN PEPPER,135000
051.jpeg,GIÒ HEO QUAY GIÒN LÁ MƠ,CRUNCHY ROASTED PORK LEG WITH APRICOT LEAVES,155000
051.jpeg,GIÒ HEO TIỀM THUỐC BẮC CẢI CÚC,SIMMERED PORK LEG WITH CHINESE HERBS AND CAULIFLOWER,NOT GIVEN
051.jpeg,CUỐNG HỌNG XÀO CẢI CHUA,STIR FRIED THROAT WITH SAUERKRAUT,95000
051.jpeg,CUỐNG HỌC XÀO KHẾ,STIR FRIED THROAT WITH STAR FRUIT,95000
051.jpeg,CƠM CHIÊN DƯƠNG CHÂU,DUONG CHAU FRIED RICE,85000
051.jpeg,CƠM CHIÊN CÁ MẶN,FRIED RICE SALTED FISH,85000
051.jpeg,CƠM CHIÊN HẢI SẢN,FRIED RICE SEAFOOD,95000
051.jpeg,CƠM CHIÊN DƯA BÒ,FRIED RICE BEEF MELON,95000
051.jpeg,CƠM CHIÊN TRỨNG,EGG FRIED RICE,75000
051.jpeg,CƠM CHIÊN MUỐI ỚT,SPICY SALT FRIED RICE,75000
051.jpeg,CƠM CHIÊN THỊT BẰM,CHOPPED MEAT FRIED RICE,85000
051.jpeg,CHÁO HẢI SẢN,SEAFOOD CONGEE,95000
051.jpeg,CHÁO BÒ HẦM,SIMMERED BEEF CONGEE,95000
051.jpeg,CHÁO CÁ BÓP,COBIA FISH CONGEE,95000
051.jpeg,CHÁU HÀU,OYSTER CONGEE,95000
051.jpeg,CHÁO LƯƠN NGHỆ AN,NGHE AN ELL CONGEE,115000
051.jpeg,MÌ XÀO BÒ,STIR FRIED NOODLE WITH BEEF,95000
051.jpeg,MÌ XÀO HẢI SẢN,STIR FRIED NOODLE SEAFOOD,95000
051.jpeg,MÌ XÀO RAU NẤM,STIR FRIED NOODLE VEGETABLE MUSHROOM,85000
051.jpeg,SÚP HẢI SẢN,SEAFOOD SOUP,95000
051.jpeg,SÚP TÔM,SHRIMP SOUP,95000
051.jpeg,SÚP HẢI SẢN RONG BIỂN,SEAFOOD SEAWEED SOUP,105000
051.jpeg,SÚP CUA,CRAB SOUP,NOT GIVEN
051.jpeg,SÚP BÀO NGƯ,ABALONE SOUP,NOT GIVEN
051.jpeg,SÚP VI CÁ,SHARK SOUP,NOT GIVEN
051.jpeg,LẨU HẢI SẢN,SEAFOOD HOTPOT,245000
051.jpeg,LẨU THÁI,THAI HOTPOT,245000
051.jpeg,LẨU BÒ RIÊU CUA,BEEF CRAB HOTPOT,245000
051.jpeg,LẨU BÍM BÒ RIÊU CUA,COW TENDON CRAB HOTPOT,245000
051.jpeg,LẨU SỨA NƯỚC LÈO,JELLYFISH HOTPOT,235000
051.jpeg,LẨU CÁ THÁC LÁC RIÊU CUA,THAC LAC FISH CRAB HOTPOT,245000
051.jpeg,LẨU GHẸ,SENTINEL CRAB HOTPOT,NOT GIVEN
051.jpeg,LẨU CUA,CRAB HOTPOT,NOT GIVEN
051.jpeg,LẨU CÁ KÈO,GOBY FISH HOTPOT,245000
051.jpeg,LẨU CÁ BÓP MĂNG CHUA,COBIA FISH WITH SOUR BAMBOO SHOT HOTPOT,245000
051.jpeg,HÀU HẤP SẢ,STEAMED OYSTER WITH CITRONELLA,15000
051.jpeg,HÀU NƯỚNG MỠ HÀNH,GRILLED OYSTER WITH SCALLIONS OIL,15000
051.jpeg,HÀU NƯỚNG PHÔ MAI,GRILLED OYSTER WITH CHEESE,17000
051.jpeg,HÀU MÙ TẠT, OYSTER WASABI,15000
051.jpeg,HÀU NHÚNG SẢ,OYSTER DIP CITRONELLA,15000
051.jpeg,GHẸ HẤP,STEAMED SENTINEL CRAB,NOT GIVEN
051.jpeg,GHẸ RANG MUỐI,STIRED SENTINEL CRAB WITH SALT,NOT GIVEN
051.jpeg,GHẸ RAM ME,SENTINEL CRAB STEW WITH TAMARIND,NOT GIVEN
051.jpeg,LẨU GHẸ,SENTINEL CRAB HOTPOT,NOT GIVEN
051.jpeg,CUA HẤP,STEAMED CRAB,NOT GIVEN
051.jpeg,CUA RANG MUỐI,FRIED SALT CRAB,NOT GIVEN
051.jpeg,CUA RAM ME,CRAB STEW WITH TAMARIND,NOT GIVEN
051.jpeg,CUA XÀO MIẾN,STIR FRIED RICE NOODLE AND CRAB,NOT GIVEN
051.jpeg,CUA HUỲNH ĐẾ,KING CRAB,NOT GIVEN
051.jpeg,ỐC HẤP SẢ,STEAMED SNAIL WITH CITRONELLA,NOT GIVEN
051.jpeg,ỐC NƯỚNG MỌI,GRILLED SNAIL,NOT GIVEN
051.jpeg,ỐC RANG MUỐI,FRIED SALT SNAIL,NOT GIVEN
051.jpeg,ỐC RAM ME,SNAIL STEW WITH TAMARIND,NOT GIVEN
051.jpeg,XÌA HẤP SẢ,STEAMED CLAM WITH CITRONELLA,125000
051.jpeg,XÌA HẤP THÁI,THAI STEAMED CLAM ,125000
052.jpeg,BÒ CUỘN MĂNG TÂY,BEEF ROLL ASPARAGUS,35000
052.jpeg,BÒ CUỘN KIM CHÂM,BEEF ROLL FLAMMULINA FILIFORMIS,35000
052.jpeg,BÒ BBQ,BBQ BEEF,35000
052.jpeg,BA CHỈ BÒ MỸ NƯỚNG SA TẾ,GRILLED SPICY SHORT PLATE,35000
052.jpeg,BA CHỈ BÒ CUỘN NẤM KIM CHÂM,SHORT PLATE ROLL FLAMMULINA FILIFORMIS,35000
052.jpeg,SƯỜN SỤN HEO SỐT SATE,RIB CARTILAGE WITH SPICY SAUCE,35000
052.jpeg,SƯỜN NON HEO,PORK RIB,35000
052.jpeg,DỒI SỤN HEO NƯỚNG SA TẾ,GRILLED SPICY PORK CARTILAGE ,35000
052.jpeg,BA CHỈ HEO SỐT SA TẾ,BACON WITH SPICY SAUCE,35000
052.jpeg,BA CHỈ HEO CUỘN MĂNG TÂY,BACON ROLL ASPARAGUS,35000
052.jpeg,ẾCH NƯỚNG SỐT CAY,GRILLED FROG WITH SPICY SAUCE,35000
052.jpeg,CHÂN GÀ RÚT XƯƠNG NƯỚNG SA TẾ,GRILLED SPICY BONELESS CHICKEN LEG ,35000
